⏲️,objects,timer clock,タイマー,タイマー
🕰️,objects,mantelpiece clock,置き時計,おきどけい
🌡️,objects,thermometer,温度計,おんどけい
⛱️,objects,beach parasol,パラソル,パラソル
🧨,objects,firecracker,爆竹,ばくちく
🎈,objects,balloon,風船,ふうせん
🎉,objects,party popper,クラッカー,クラッカー
🎊,objects,confetti ball,くす玉,くすだま
🎎,objects,Japanese dolls,雛人形,ひなにんぎょう
🎏,objects,carp streamers,鯉のぼり,こいのぼり
🎐,objects,wind chime
🎀,objects,ribbon
🎁,objects,wrapped gift
🤿,objects,diving mask
🪀,objects,yo-yo
🪁,objects,kite
🪄,objects,magic wand
🕹️,objects,joystick
🧸,objects,teddy bear
🪆,objects,nesting dolls
🖼️,objects,framed picture
🛍️,objects,shopping bags
💎,objects,gem stone
📱,necessaries,mobile phone
🔋,necessaries,battery
🔌,necessaries,electric plug
💻,necessaries,laptop
🖥️,necessaries,desktop computer
🖨️,necessaries,printer
⌨️,necessaries,keyboard
🖱️,necessaries,computer mouse
🖲️,necessaries,trackball
🧮,necessaries,abacus
🎥,necessaries,movie camera
📺,necessaries,television
📷,necessaries,camera
📸,necessaries,camera
📹,necessaries,video camera
🔍,necessaries,magnifying glass
🔎,necessaries,magnifying glass
🕯️,necessaries,candle
💡,necessaries,light bulb
🔦,necessaries,flashlight
📔,necessaries,notebook
📕,necessaries,book
📖,necessaries,book
📗,necessaries,book
📘,necessaries,book
📙,necessaries,book
📚,necessaries,books
📓,necessaries,notebook
🏷️,necessaries,label
💰,necessaries,money bag
🪙,necessaries,coin
💴,necessaries,banknote
💵,necessaries,banknote
💶,necessaries,banknote
💷,necessaries,banknote
💳,necessaries,credit card
🧾,necessaries,receipt
✉️,necessaries,envelope
📮,necessaries,postbox
✏️,necessaries,pencil
🖊️,necessaries,pen
🖌️,necessaries,paintbrush
🖍️,necessaries,crayon
📝,necessaries,memo
📅,necessaries,calendar
📆,necessaries,calendar
🗓️,necessaries,calendar
📋,necessaries,clipboard
📌,necessaries,pushpin
📍,necessaries,pushpin
📎,necessaries,paperclip
🖇️,necessaries,paperclips
📏,necessaries,ruler
📐,necessaries,ruler
✂️,necessaries,scissors
🗃️,necessaries,card file box
🗄️,necessaries,file cabinet
🗑️,necessaries,wastebasket
🔒,necessaries,locked
🔓,necessaries,unlocked
🔑,necessaries,key
🗝️,necessaries,key
🔨,objects,hammer
🪓,objects,axe
⛏️,objects,pick
🗡️,objects,dagger
⚔️,objects,crossed swords
🔫,objects,water pistol
🪃,objects,boomerang
🛡️,objects,shield
🔗,objects,link
⛓️,objects,chains
🪝,objects,hook
🧰,objects,toolbox
🧲,objects,magnet
🪜,objects,ladder
💉,objects,syringe
💊,objects,pill
🩹,objects,adhesive bandage
🚪,objects,door
🪞,objects,mirror
🪟,objects,window
🛏️,objects,bed
🛋️,objects,couch and lamp
🪑,objects,chair
🚽,objects,toilet
🪠,objects,plunger
🚿,objects,shower
🛁,objects,bathtub
🪒,objects,razor
🧴,objects,lotion bottle
🧷,objects,safety pin
🧹,objects,broom
🧺,objects,basket
🧻,objects,roll of paper
🪣,objects,bucket
🧼,objects,soap
🪥,objects,toothbrush
🧽,objects,sponge
🧯,objects,fire extinguisher
🛒,objects,shopping cart
🚬,objects,cigarette
🪧,objects,placard
♨️,symbols,hot springs
💈,symbols,barber pole
🕛,symbols,twelve o’clock
🕧,symbols,twelve-thirty
🕐,symbols,one o’clock
🕜,symbols,one-thirty
🕑,symbols,two o’clock
🕝,symbols,two-thirty
🕒,symbols,three o’clock
🕞,symbols,three-thirty
🕓,symbols,four o’clock
🕟,symbols,four-thirty
🕔,symbols,five o’clock
🕠,symbols,five-thirty
🕕,symbols,six o’clock
🕡,symbols,six-thirty
🕖,symbols,seven o’clock
🕢,symbols,seven-thirty
🕗,symbols,eight o’clock
🕣,symbols,eight-thirty
🕘,symbols,nine o’clock
🕤,symbols,nine-thirty
🕙,symbols,ten o’clock
🕥,symbols,ten-thirty
🕚,symbols,eleven o’clock
🕦,symbols,eleven-thirty
🌀,symbols,cyclone
♠️,symbols,spade
♥️,symbols,heart
♦️,symbols,diamond
📢,symbols,loudspeaker
📣,symbols,megaphone
🔔,symbols,bell
⬆️,symbols,up
↗️,symbols,up-right
➡️,symbols,right
↘️,symbols,down-right
⬇️,symbols,down
↙️,symbols,down-left
⬅️,symbols,left
↖️,symbols,up-left
