🍢,食べ物,odenn,おでん,おでん
🍣,食べ物,sushi,すし,寿司
🍤,食べ物,ebifurai,エビフライ,エビフライ
🥮,食べ物,geppei,げっぺい,月餅
🍡,食べ物,danngo,だんご,だんご
🥟,食べ物,shouronnpou,しょうろんぽう,小籠包
🥡,食べ物,teikuautobokkusu,テイクアウトボックス,テイクアウトボックス
🦪,食べ物,kaki,カキ,カキ
🍦,食べ物,sofutokuri-mu,ソフトクリーム,ソフトクリーム
🍧,食べ物,kakigoori,かきごおり,かき氷
🍨,食べ物,aisukuri-mu,アイスクリーム,アイスクリーム
🍩,食べ物,do-natsu,ドーナツ,ドーナツ
🍪,食べ物,kukki-,クッキー,クッキー
🎂,食べ物,ke-ki,ケーキ,ケーキ
🍰,食べ物,ke-ki,ケーキ,ケーキ
🧁,食べ物,ke-ki,ケーキ,ケーキ
🥧,食べ物,pai,パイ,パイ
🍫,食べ物,chokore-to,チョコレート,チョコレート
🍬,食べ物,ame,あめ,あめ
🍭,食べ物,peroperokyanndhi,ペロペロキャンディ,ペロペロキャンディ
🍮,食べ物,purinn,プリン,プリン
🍯,食べ物,hachimitsu,はちみつ,はちみつ
🥛,食べ物,gyuunyuu,ぎゅうにゅう,牛乳
🫖,食べ物,thi-potto,ティーポット,ティーポット
🍵,食べ物,yunomi,ゆのみ,湯呑み
🍶,食べ物,nihonnshu,にほんしゅ,日本酒
🍷,食べ物,gurasu,グラス,グラス
🍸,食べ物,gurasu,グラス,グラス
🍹,食べ物,nomimono,のみもの,飲み物
🍺,食べ物,bi-ru,ビール,ビール
🍻,食べ物,bi-ru,ビール,ビール
🧊,食べ物,koori,こおり,氷
🥢,食べ物,hashi,はし,箸
🥄,食べ物,supu-nn,スプーン,スプーン
🧗,スポーツ,kuraiminngu,クライミング,クライミング
🧗‍♂️,スポーツ,kuraiminngu,クライミング,クライミング
🧗‍♀️,スポーツ,kuraiminngu,クライミング,クライミング
🤺,スポーツ,fennshinngu,フェンシング,フェンシング
🏇,スポーツ,keiba,けいば,競馬
